OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
78,点,585,512,2938367971,Toms Guesthouse, , , , , , , ,"addr:door=>""8A5"",""addr:floor""=>""8/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""8"",""tourism""=>""guest_house""",22.296475,114.172443,1,1
79,点,588,1685,6384079283, , ,crossing,K002, , , , ,"button_operated=>""yes"",""crossing""=>""traffic_signals"",""crossing:island""=>""no"",""crossing:scramble""=>""yes"",""tactile_paving""=>""yes"",""traffic_signals:sound""=>""yes"",""traffic_signals:vibration""=>""yes""",22.296478,114.172131,1,1
80,点,589,2278,10880215920,太子珠寶鐘錶 Prince Jewellery & Watch, , , , , , , ,"addr:housenumber=>""12A"",""addr:street""=>""北京道 Peking Road"",""name:en""=>""Prince Jewellery & Watch"",""name:zh""=>""太子珠寶鐘錶"",""shop""=>""jewelry""",22.296479,114.171308,1,1
81,点,590,1774,6705233699, , , ,K002, , , , ,"note:highway=>""traffic_signals""",22.29648,114.172216,1,1
82,点,595,0,30747334, , ,crossing,K002, , , , ,"button_operated=>""yes"",""crossing""=>""traffic_signals"",""crossing:island""=>""yes"",""crossing:scramble""=>""yes"",""tactile_paving""=>""yes"",""traffic_signals:sound""=>""yes"",""traffic_signals:vibration""=>""yes""",22.296485,114.1722,1,1
83,点,598,1688,6384079486, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""flush"",""tactile_paving""=>""yes""",22.296488,114.17225,1,1
84,点,599,1863,7077374178, ,bollard, , , , , , ,"access=>""yes"",""bollard""=>""fixed""",22.296488,114.172257,1,1
85,点,600,1687,6384079485, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""flush"",""tactile_paving""=>""yes""",22.296488,114.172265,1,1
86,点,601,492,2938367951,Hollywood Guesthouse, , , , , , , ,"addr:door=>""14A1"",""addr:floor""=>""14/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""14"",""tourism""=>""guest_house""",22.296489,114.172549,1,1
87,点,602,1579,6289249808, , ,crossing,K002, , , , ,"button_operated=>""yes"",""crossing""=>""traffic_signals"",""crossing:island""=>""yes"",""crossing:scramble""=>""yes"",""tactile_paving""=>""yes"",""traffic_signals:sound""=>""yes"",""traffic_signals:vibration""=>""yes""",22.296489,114.17229,1,1
88,点,604,1686,6384079284, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""lowered"",""tactile_paving""=>""yes""",22.296491,114.172338,1,1
