name,lat,lon,alt,rot,date
1001,22.29736329,114.1705076,10.86425972,14.09382629,2023
1006,22.29767556,114.1722197,8.679783821,3.871566772,2023
1008,22.29815037,114.1698001,11.70616245,225.0676575,2021
1013,22.29738679,114.1697731,6.316392422,18.03988647,2021
1020,22.29771598,114.171526,9.304652214,3.992279053,2023
1021,22.29698631,114.1723102,7.388000965,44.51741028,2023
1025,22.29761985,114.171534,9.023848534,5.485992432,2023
1029,22.29793359,114.1696692,14.1098547,198.3287048,2023
1030,22.29734637,114.1715538,8.52130127,2.427124023,2023
1034,22.29790479,114.1714236,8.802679062,269.8074341,2021
1042,22.29805519,114.1702323,8.516699791,93.80049896,2023
1051,22.29732797,114.1722468,7.969022751,3.729949951,2023
1061,22.29789899,114.1715129,9.716723442,3.706420898,2023
1062,22.29726487,114.1707946,9.96290493,3.64982605,2021
1068,22.29769028,114.1725581,8.465438843,273.0787964,2023
1081,22.2976104,114.1713254,8.93193531,189.1300659,2021
1083,22.29785759,114.1722069,9.000183105,3.734222412,2023
1091,22.29731552,114.1713562,7.616353035,181.1551209,2021
1097,22.29790261,114.1720882,9.199027061,183.657959,2022
1098,22.2981371,114.1722796,9.425326347,90.59209442,2023
1101,22.29789514,114.171065,9.760276794,184.3443604,2023
1105,22.29775406,114.1726073,7.591300011,7.037216187,2021
1114,22.29814353,114.1716935,9.803305626,93.3942337,2023
1117,22.29812377,114.1713406,9.928709984,93.90418243,2023
1130,22.29796811,114.1725885,7.759522915,17.83512878,2021
1132,22.29763964,114.1710863,9.697494507,183.4180298,2023
1134,22.29765806,114.1704738,12.14174557,148.7610855,2023
1138,22.29814007,114.1723775,9.162139893,92.77095032,2023
1149,22.29808854,114.1707643,9.452157974,93.637146,2023
1154,22.29710296,114.1699559,10.78414822,196.1817322,2023
1161,22.298038,114.1699285,8.119848251,93.84131622,2023
1173,22.29795079,114.1725952,7.707173347,350.1812286,2021
1189,22.29769727,114.1721035,8.858849525,183.8372192,2022
1193,22.29809782,114.1698093,7.124779701,274.4618225,2021
1195,22.2981376,114.1715788,9.892393112,92.98308563,2023
1197,22.29797672,114.1697478,14.05731583,18.25776672,2023
1213,22.29816162,114.1704659,8.439838409,199.9637146,2021
1236,22.29808147,114.1706617,9.264597893,94.86232758,2023
1254,22.29790152,114.1713266,8.835406303,271.7323303,2021
1256,22.29741088,114.1721248,8.386302948,184.4655151,2022
1260,22.29747402,114.169741,6.333163738,19.62568665,2021
1283,22.29763014,114.1722232,8.60217762,4.070007324,2023
1294,22.297785,114.1704134,11.32707691,344.6582184,2021
1305,22.29789025,114.1697778,13.69953442,18.24182129,2023
1312,22.29815879,114.1697174,14.16132736,194.0137939,2021
1320,22.29815621,114.1718892,9.578528404,94.21127319,2023
1343,22.29806058,114.1703316,8.671488762,93.41888428,2023
1369,22.29806705,114.1725869,7.876535416,8.142852783,2021
1374,22.29814176,114.1721798,9.605278969,82.57802582,2023
1377,22.2981065,114.1710541,9.912718773,93.37630463,2023
1384,22.29791378,114.1710942,8.849611282,188.4850464,2021
1397,22.29745213,114.1698378,12.16156864,198.0880432,2023
1424,22.2977932,114.1713121,8.974798203,185.3140259,2021
1466,22.29809975,114.1714996,9.439105034,42.36688232,2023
1473,22.2979613,114.1726064,7.769983768,289.5467529,2021
1511,22.29780434,114.169715,13.57280445,198.2887878,2023
1545,22.29790144,114.1712498,8.635570526,281.269104,2021
1562,22.29811145,114.1711491,9.949144363,97.63614655,2023
1587,22.29794814,114.1722008,9.165395737,3.835525513,2023
1693,22.29803216,114.1698294,8.001494408,94.65769959,2023
1701,22.29808404,114.1721911,9.456651688,3.945892334,2023
3806,22.29616598,114.1701978,7.633559704,193.1302185,2023
3807,22.29622915,114.1702854,7.776467323,150.3811817,2023
3809,22.29623005,114.1703105,1.011493206,276.5850525,2021
3812,22.29625615,114.1701762,7.76507616,192.6413269,2023
3813,22.29631659,114.1703465,7.755936623,44.77226257,2023
3814,22.29627321,114.1701089,7.705396652,120.0338631,2023
3815,22.29620877,114.1701012,1.846209526,285.4570313,2021
3816,22.29620767,114.1705655,6.636591911,343.4102478,2021
3827,22.29628966,114.1705753,7.54656744,95.65724945,2023
3831,22.29618483,114.1698695,2.105586767,286.3944397,2021
3849,22.29625922,114.1706183,7.452455521,40.36865234,2023
3869,22.29633916,114.1703871,6.808279514,74.49247742,2021
3872,22.29683664,114.1700313,9.703752518,194.1107788,2023
3885,22.29701475,114.1699823,10.41714096,194.9989624,2023
3892,22.29695352,114.1711325,8.25028038,185.1513367,2023
3894,22.29631934,114.1723181,6.940900803,3.960647583,2023
3897,22.2962917,114.1705024,7.592450142,95.20790863,2023
3902,22.29695074,114.1722738,7.453825474,3.346664429,2023
3903,22.29699633,114.1722709,7.486392498,3.439407349,2023
3904,22.29705136,114.1721551,7.421992779,184.7504272,2022
3908,22.29656911,114.1721904,6.070554256,279.257019,2021
3909,22.29699299,114.1708782,8.867321968,97.25603485,2023
3912,22.2966985,114.1708676,6.484218597,10.28369141,2021
3919,22.29727852,114.1698982,11.45857048,197.7533569,2023
3927,22.29713739,114.1721484,7.970448017,184.078186,2022
3929,22.29632726,114.1708464,6.199775696,13.3457489,2021
3935,22.29704556,114.1711082,8.52367115,133.6036911,2023
3937,22.29754061,114.169807,12.50915813,198.0403442,2023
4011,22.29753253,114.1715424,8.813117027,4.528991699,2023
4020,22.29632622,114.1705152,6.495220184,176.6375358,2021
4035,22.29732058,114.1721326,8.220754623,184.3511658,2022
4036,22.29722929,114.1721402,8.082307816,184.0471497,2022
4053,22.29762924,114.1697762,12.86792088,198.0432129,2023
4054,22.29764639,114.169675,6.363750458,14.81268311,2021
4064,22.29784745,114.1696997,13.75393677,198.3670654,2023
4072,22.2975404,114.1722302,8.43944931,4.171188354,2023
4073,22.29742133,114.1721222,8.400082588,183.6318665,2022
4080,22.2970129,114.1708415,7.688682556,359.4922638,2021
4129,22.29813294,114.1714878,9.923947334,93.68953705,2023
4141,22.29806721,114.1704458,8.879507065,93.84048462,2023
